nome,categoriaAlimentare,colore,consistenza,origine,stagionalita,provenienza_geografica,metodo_produzione,livello_trasformazione,peso_medio_g,durata_conservazione_giorni,prezzo_per_kg,contenuto_acqua_perc,densita_nutrizionale_kcal100g,indice_glicemico
Pomodoro San Marzano,Vegetale,rosso,morbido,vegetale,estate,mediterraneo,biologico,minimamente_lavorato,80.0,7.0,4.5,94.5,18.0,10.0
Parmigiano Reggiano 24 mesi,Latticini,giallo,compatto,animale,tutto_anno,locale,tradizionale,lavorato,1000.0,90.0,32.0,32.0,431.0,0.0
Prosciutto di Parma,Carne,rosa,compatto,animale,tutto_anno,locale,tradizionale,lavorato,500.0,60.0,28.0,63.0,335.0,0.0
Olio Extra Vergine Toscano,Vegetale,verde_dorato,oleoso,vegetale,autunno,locale,biologico,minimamente_lavorato,500.0,720.0,12.0,0.2,884.0,0.0
Basilico Genovese DOP,Vegetale,verde,morbido,vegetale,estate,mediterraneo,biologico,crudo,15.0,3.0,8.0,92.1,22.0,5.0
Mozzarella di Bufala Campana,Latticini,bianco,morbido,animale,tutto_anno,locale,tradizionale,minimamente_lavorato,250.0,3.0,18.0,83.0,253.0,0.0
Risotto Carnaroli,Cereali,bianco_perla,granulare,vegetale,tutto_anno,locale,tradizionale,lavorato,1000.0,1095.0,3.2,12.8,330.0,69.0
Salmone Norvegese Selvaggio,Carne,arancione,compatto,marino,tutto_anno,nordico,selvatico,crudo,800.0,2.0,24.0,68.5,208.0,0.0
Funghi Porcini Freschi,Vegetale,marrone,spugnoso,selvatico,autunno,montano,selvatico,crudo,150.0,3.0,15.0,92.5,26.0,15.0
Tartufo Nero Umbro,Vegetale,nero,compatto,selvatico,inverno,collinare,selvatico,crudo,50.0,7.0,800.0,75.0,31.0,5.0
Grana Padano 18 mesi,Latticini,giallo_oro,granulare,animale,tutto_anno,locale,tradizionale,lavorato,1000.0,120.0,26.0,28.4,384.0,0.0
Bresaola della Valtellina,Carne,rosso_scuro,compatto,animale,tutto_anno,alpino,tradizionale,essiccato,200.0,90.0,45.0,62.8,151.0,0.0
