nome,tipo_cucina,difficolta,tipo_piatto,metodo_cottura,stagionalita,dieta_speciale,occasione_consumo,numero_ingredienti,numero_porzioni,tempo_preparazione_min,tempo_cottura_min,costo_stimato_euro,rating_medio,numero_preparazioni,calorie_per_porzione,tempo_totale_min,ingredienti
Spaghetti alla Carbonara,italiana,media,primo,saltato,tutto_anno,normale,quotidiana,5,4,15,10,8.5,4.8,15000,520,25,Spaghetti;Uova;Parmigiano Reggiano 24 mesi;Guanciale;Pepe nero
Risotto alla Milanese,italiana,difficile,primo,mantecato,tutto_anno,normale,domenicale,7,6,10,25,12.0,4.7,8500,380,35,Risotto Carnaroli;Brodo di Carne;Parmigiano Reggiano 24 mesi;Cipolla;Vino Bianco;Burro;Zafferano
Pizza Margherita,italiana,media,piatto_unico,al_forno,tutto_anno,vegetariana,familiare,6,2,120,8,4.5,4.9,25000,280,128,Farina 00;Pomodoro San Marzano;Mozzarella di Bufala Campana;Basilico Genovese DOP;Olio Extra Vergine Toscano;Sale
Osso Buco alla Milanese,italiana,difficile,secondo,brasato,autunno_inverno,normale,domenicale,12,4,30,120,25.0,4.6,3200,420,150,Osso Buco di Vitello;Carote;Sedano;Cipolla;Pomodoro San Marzano;Vino Bianco;Brodo di Carne;Farina 00;Burro;Gremolata;Prezzemolo;Limoni di Sorrento IGP
Tiramisu,italiana,media,dolce,mantecato,tutto_anno,normale,festiva,8,8,45,0,14.0,4.9,12000,450,45,Savoiardi;Mascarpone;Uova;Zucchero;Caffè;Cacao amaro;Marsala;Panna
Lasagne alla Bolognese,italiana,difficile,primo,al_forno,autunno_inverno,normale,domenicale,15,6,90,45,18.5,4.8,9500,480,135,Sfoglia per Lasagne;Ragù alla Bolognese;Besciamella;Parmigiano Reggiano 24 mesi;Carote;Sedano;Cipolla;Pomodoro San Marzano;Carne Macinata;Vino Rosso;Latte;Burro;Farina 00;Noce Moscata;Olio Extra Vergine Toscano
Pesto Genovese,italiana,facile,condimento,crudo,estate,vegetariana,quotidiana,6,4,15,0,8.0,4.7,7800,120,15,Basilico Genovese DOP;Parmigiano Reggiano 24 mesi;Pecorino Romano;Pinoli;Aglio;Olio Extra Vergine Toscano
Cacio e Pepe,italiana,difficile,primo,mantecato,tutto_anno,normale,quotidiana,3,4,5,8,6.0,4.6,8900,420,13,Spaghetti;Pecorino Romano;Pepe nero
Saltimbocca alla Romana,italiana,media,secondo,saltato,tutto_anno,normale,cena_elegante,6,4,15,12,16.0,4.5,4200,380,27,Scaloppine di Vitello;Prosciutto di Parma;Salvia;Vino Bianco;Burro;Farina 00
Bruschetta al Pomodoro,italiana,facile,antipasto,alla_griglia,estate,vegetariana,aperitivo,5,6,10,5,3.5,4.4,18000,95,15,Pane Pugliese;Pomodoro San Marzano;Aglio;Basilico Genovese DOP;Olio Extra Vergine Toscano
Pasta all'Amatriciana,italiana,facile,primo,saltato,tutto_anno,normale,quotidiana,6,4,10,15,7.5,4.7,11000,450,25,Spaghetti;Guanciale;Pomodoro San Marzano;Peperoncino Calabrese;Pecorino Romano;Vino Bianco
Bistecca alla Fiorentina,italiana,media,secondo,alla_griglia,tutto_anno,normale,cena_elegante,4,2,10,8,35.0,4.8,2800,580,18,Bistecca di Manzo;Olio Extra Vergine Toscano;Sale;Pepe nero
Gelato alla Stracciatella,italiana,difficile,dolce,mantecato,estate,normale,merenda,6,6,30,0,6.5,4.6,5400,220,30,Latte;Panna;Zucchero;Uova;Cioccolato Fondente;Vaniglia
Arancini Siciliani,italiana,media,antipasto,fritto,tutto_anno,normale,street_food,12,8,45,15,9.0,4.5,7200,320,60,Risotto Carnaroli;Ragù alla Bolognese;Mozzarella di Bufala Campana;Piselli;Uova;Farina 00;Pangrattato;Olio di Semi;Zafferano;Parmigiano Reggiano 24 mesi;Burro;Sale
Vitello Tonnato,italiana,difficile,secondo,bollito,estate,normale,festiva,10,6,60,90,22.0,4.4,3100,380,150,Vitello;Tonno;Maionese;Capperi;Acciughe;Limone;Carote;Sedano;Cipolla;Vino Bianco
Insalata Caprese,italiana,facile,antipasto,crudo,estate,vegetariana,pranzo_veloce,4,4,10,0,6.0,4.3,14000,180,10,Mozzarella di Bufala Campana;Pomodoro San Marzano;Basilico Genovese DOP;Olio Extra Vergine Toscano
Spaghetti alle Vongole,italiana,media,primo,saltato,primavera_estate,normale,cena_elegante,8,4,20,12,15.0,4.7,6500,420,32,Spaghetti;Vongole;Aglio;Prezzemolo;Vino Bianco;Olio Extra Vergine Toscano;Peperoncino Calabrese;Pomodoro San Marzano
Polenta con Gorgonzola,italiana,facile,contorno,bollito,autunno_inverno,vegetariana,comfort_food,4,6,5,30,4.5,4.2,4800,280,35,Farina di Mais;Acqua;Sale;Gorgonzola
Parmigiana di Melanzane,italiana,difficile,contorno,al_forno,estate,vegetariana,domenicale,8,6,60,40,12.0,4.6,8100,350,100,Melanzane Siciliane;Pomodoro San Marzano;Mozzarella di Bufala Campana;Parmigiano Reggiano 24 mesi;Basilico Genovese DOP;Aglio;Olio Extra Vergine Toscano;Farina 00
Pasta e Fagioli,italiana,media,primo,bollito,autunno_inverno,vegetariana,comfort_food,10,6,20,45,5.5,4.4,9200,320,65,Pasta Mista;Fagioli Cannellini;Pomodoro San Marzano;Cipolla;Aglio;Sedano;Carote;Olio Extra Vergine Toscano;Rosmarino;Brodo Vegetale
Scaloppine al Limone,italiana,facile,secondo,saltato,tutto_anno,normale,quotidiana,6,4,15,8,12.0,4.3,5600,290,23,Scaloppine di Vitello;Limone;Farina 00;Burro;Vino Bianco;Prezzemolo
Gnocchi di Patate,italiana,difficile,primo,bollito,tutto_anno,vegetariana,domenicale,4,4,90,3,4.0,4.5,7400,280,93,Patate;Farina 00;Uova;Sale
Carpaccio di Manzo,italiana,facile,antipasto,crudo,tutto_anno,normale,cena_elegante,6,4,15,0,18.0,4.4,3800,150,15,Filetto di Manzo;Rucola;Parmigiano Reggiano 24 mesi;Limone;Olio Extra Vergine Toscano;Sale
Focaccia Ligure,italiana,media,antipasto,al_forno,tutto_anno,vegetariana,aperitivo,7,8,20,25,3.5,4.2,12000,220,45,Farina 00;Acqua;Lievito di Birra;Sale;Olio Extra Vergine Toscano;Pomodorini;Olive Taggiasche
Pasta alla Norma,italiana,media,primo,saltato,estate,vegetariana,quotidiana,8,4,25,20,8.5,4.6,7800,380,45,Spaghetti;Melanzane Siciliane;Pomodoro San Marzano;Ricotta Salata;Basilico Genovese DOP;Aglio;Olio Extra Vergine Toscano;Sale
Osso di Prosciutto e Fagioli,italiana,facile,primo,bollito,autunno_inverno,normale,comfort_food,8,6,20,90,8.0,4.3,4200,350,110,Osso di Prosciutto;Fagioli Cannellini;Cipolla;Carote;Sedano;Pomodoro San Marzano;Rosmarino;Olio Extra Vergine Toscano
Baccalà Mantecato,italiana,difficile,antipasto,mantecato,tutto_anno,normale,festiva,6,6,60,0,15.0,4.5,2100,280,60,Baccalà;Olio Extra Vergine Toscano;Latte;Aglio;Prezzemolo;Pepe nero
Pasta al Pomodoro e Basilico,italiana,facile,primo,saltato,estate,vegetariana,quotidiana,5,4,10,12,4.5,4.4,16000,320,22,Spaghetti;Pomodoro San Marzano;Basilico Genovese DOP;Aglio;Olio Extra Vergine Toscano
Minestrone alla Milanese,italiana,media,primo,bollito,autunno_inverno,vegetariana,comfort_food,14,6,30,60,6.5,4.2,8900,180,90,Fagioli Cannellini;Carote;Sedano;Cipolla;Patate;Zucchine;Pomodoro San Marzano;Cavolo;Spinaci;Piselli;Pasta Mista;Olio Extra Vergine Toscano;Salvia;Brodo Vegetale
Cotoletta alla Milanese,italiana,media,secondo,fritto,tutto_anno,normale,domenicale,6,4,20,8,14.0,4.5,6200,420,28,Cotoletta di Vitello;Uova;Pangrattato;Burro;Limone;Sale
Sorbetto al Limone,italiana,facile,dolce,mantecato,estate,vegana,serale_leggera,3,4,15,0,3.0,4.1,4800,120,15,Limone;Zucchero;Acqua
Pasta Puttanesca,italiana,facile,primo,saltato,tutto_anno,normale,quotidiana,9,4,15,15,7.5,4.4,8500,380,30,Spaghetti;Pomodoro San Marzano;Olive Taggiasche;Capperi;Acciughe;Aglio;Peperoncino Calabrese;Olio Extra Vergine Toscano;Prezzemolo
Brasato al Barolo,italiana,molto_difficile,secondo,brasato,autunno_inverno,normale,cena_elegante,12,6,45,180,32.0,4.8,1800,450,225,Brasato di Manzo;Vino Barolo;Cipolla;Carote;Sedano;Aglio;Rosmarino;Salvia;Alloro;Burro;Farina 00;Brodo di Carne
Torta della Nonna,italiana,media,dolce,al_forno,tutto_anno,normale,domenicale,10,8,45,35,8.5,4.7,5600,380,80,Pasta Frolla;Crema Pasticcera;Pinoli;Zucchero a Velo;Uova;Latte;Farina 00;Burro;Zucchero;Vaniglia
